Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
435,435,-7.405,0,0.0429,0.0166
436,436,-6.322,0.000213,0.0375,0.0388
437,437,-6.389,0.00101,0.0419,0.106
438,438,-4.298,0,0.0698,0.134
439,439,-10.8,0,0.0479,0.157
440,440,-6.065,0,0.095,0.253
441,441,-10.511,6.50E-06,0.0583,0.0862
442,442,-5.595,0,0.0906,0.144
443,443,-5.224,0,0.26,0.0631
444,444,-5.123,0,0.0476,0.194
445,445,-7.814,0.000102,0.0741,0.0753
446,446,-8.137,0,0.339,0.0511
447,447,-10.426,0,0.291,0.365
448,448,-9.253,0,0.399,0.387
449,449,-7.463,0,0.0384,0.164
450,450,-7.444,0,0.0317,0.022
451,451,-7.588,0,0.0353,0.139
452,452,-8.335,0,0.0364,0.457
453,453,-7.89,0,0.0601,0.0339
454,454,-4.315,0,0.306,0.0142
455,455,-8.524,2.01E-06,0.0325,0.323
456,456,-5.557,0,0.0625,0.0465
457,457,-9.37,0,0.029,0.735
458,458,-7.208,6.63E-06,0.0285,0.367
459,459,-7.266,0.000117,0.336,0.196
460,460,-9.875,1.43E-06,0.0303,0.635
461,461,-7.162,0,0.144,0.192
462,462,-10.272,0,0.0362,0.781
463,463,-8.042,0,0.039,0.111
464,464,-10.474,0,0.0308,0.767
465,465,-9.55,0,0.13,0.12
466,466,-6.733,0,0.0367,0.558
467,467,-11.008,0,0.0329,0.679
468,468,-7.663,0.000155,0.0375,0.278
469,469,-6.246,0,0.858,0.404
470,470,-9.428,0,0.836,0.181
471,471,-7.231,0,0.899,0.318
472,472,-9.557,0,0.761,0.269
473,473,-7.805,0,0.482,0.292
474,474,-10.423,0,0.865,0.563
475,475,-11.331,0,0.821,0.218
476,476,-11.386,0,0.909,0.403
477,477,-9.479,4.80E-06,0.483,0.226
478,478,-10.712,0,0.706,0.181
479,479,-6.525,0,0.0278,0.572
480,480,-7.642,0,0.0341,0.784
481,481,-6.861,0,0.0271,0.481
482,482,-7.842,0,0.0273,0.328
483,483,-9.016,0,0.0412,0.697
484,484,-5.353,0,0.0307,0.548
485,485,-7.588,0.000941,0.0412,0.627
486,486,-8.108,1.82E-05,0.0298,0.699
487,487,-8.343,3.73E-05,0.035,0.524
488,488,-2.87,0,0.0422,0.0663
489,489,-7.867,1.35E-05,0.028,0.738
490,490,-7.016,0,0.0325,0.71
491,491,-7.538,0.00165,0.0521,0.371
492,492,-7.162,0,0.144,0.192
493,493,-6.438,0.000466,0.0269,0.927
